Title,Link
Skatepark für Gemeinde Lichtenberg - Online-Petition - openPetition,https://www.openpetition.de/petition/online/skatepark-fuer-gemeinde-lichtenberg
Pro & Contra: Neuer Skatepark fuer Leverkusen - Online-Petition,https://www.openpetition.de/petition/argumente/neuer-skatepark-fuer-leverkusen
Skatepark für Brück! - Online petition - openPetition,https://www.openpetition.de/petition/online/skatepark-fuer-brueck?language=en_GB.utf8
Voor de jeugd: Een skatepark in de buurt - Online petition,https://www.openpetition.eu/nl/petition/online/voor-de-jeugd-een-skatepark-in-de-buurt?language=en_GB.utf8
Zulassung von Scootern (Trickrollern) im Skatepark - Online-Petition,https://www.openpetition.de/petition/online/zulassung-von-scootern-trickrollern-im-skatepark
Voor de jeugd: Een skatepark in de buurt - online-petitie,https://www.openpetition.eu/nl/petition/online/voor-de-jeugd-een-skatepark-in-de-buurt
Skatepark ad aversa - Online petitsioon - openPetition.eu,https://www.openpetition.eu/it/petition/online/skatepark-ad-aversa?language=et_EE.utf8
Pro & Contra: Eine Skatepark für Anthony Huber - Online-Petition,https://www.openpetition.de/petition/argumente/eine-skatepark-fuer-anthony-huber
Weißenburg braucht einen Neuen und die Region ... - openPetition,https://www.openpetition.de/petition/online/weissenburg-braucht-einen-neuen-und-die-region-einen-echten-skatepark?language=ka_GE.utf8
Übungsgelände (Pumptrack-Skatepark) Beilstein für Kinder ...,https://www.openpetition.de/petition/online/uebungsgelaende-pumptrack-skatepark-beilstein-fuer-kinder-jugendliche-und-junge-erwachsene?language=lv_LV.utf8
նորություններ: Ausbau des Skateparks Bad Vilbel,https://www.openpetition.de/petition/blog/ausbau-des-skateparks-bad-vilbel/14?language=hy_AM.utf8
Murnau braucht einen neuen Skatepark! - openPetition,https://www.openpetition.de/petition/online/murnau-braucht-einen-neuen-skatepark?language=ka_GE.utf8
"Citizens' initiatives, online petitions, campaigns - openPetition",https://www.openpetition.eu/nl?language=en_GB.utf8
Construisons un skatepark à Versoix! - Online-Petition,https://www.openpetition.eu/ch/petition/online/construisons-un-skatepark-a-versoix
BTC bleibt! Für den Erhalt des Skateparks am Hafengrenzweg,https://www.openpetition.de/petition/online/btc-bleibt-fuer-den-erhalt-des-skateparks-am-hafengrenzweg?language=da_DK.utf8
artı ve eksileri: Skate Park São João da Talha - çevrimiçi dilekçe,https://www.openpetition.eu/pt/petition/argumente/skate-park-sao-joao-da-talha?language=tr_TR.utf8
Aktuelle andragender - openPetition.eu,https://www.openpetition.eu/lu/petitionen?category=44&seite=2&language=da_DK.utf8
Aufwertung und Instandsetzung des Skateparks im Lippepark Hamm.,https://www.openpetition.de/petition/online/aufwertung-und-instandsetzung-des-skateparks-im-lippepark-hamm
Güncel dilekçeler - openPetition.eu,https://www.openpetition.eu/ch/petitionen?status=misserfolg&seite=428&language=tr_TR.utf8
"Keine Kinder, Scooter-Fahrer:innen und Fahrradfahrer:innen in ...",https://www.openpetition.de/petition/online/keine-kinder-scooter-fahrer-innen-und-fahrradfahrer-innen-in-skateparks
"nismat e qytetarëve, peticionet në internet, fushatat - openPetition.eu",https://www.openpetition.eu/nl?category=46&language=sq_MK.utf8
მიმდინარე შუამდგომლობები - openPetition.eu,https://www.openpetition.eu/li/petitionen?status=misserfolg&seite=408&language=ka_GE.utf8
BTC stays! Help save Muenster's last remainig diy skatepark,https://www.openpetition.de/petition/online/btc-stays-help-save-muensters-last-remainig-diy-skatepark
"Vatandaşların girişimleri, çevrimiçi dilekçeler, kampanyalar",https://www.openpetition.eu/nl?language=tr_TR.utf8
"piliečių iniciatyvos, internetinės peticijos, kampanijos - openPetition.eu",https://www.openpetition.eu/nl?category=0&language=lt_LT.utf8
შენი ხმა ქმნის ცვლილებას! - openPetition.eu,https://www.openpetition.eu/nl?status=dringend&category=42&language=ka_GE.utf8
Güncel dilekçeler - openPetition.eu,https://www.openpetition.eu/nl/petitionen?status=dringend&seite=1&language=tr_TR.utf8
"Iniciativas Ciudadanas, Peticiones Online, Campañas - openPetition",https://www.openpetition.eu/nl?category=45&language=es_ES.utf8
Քաղաքացիների նախաձեռնություններ ...,https://www.openpetition.eu/nl?status=beendet&language=hy_AM.utf8
Rettet den Skatepark in Gmunden – Wir brauchen eine schnelle ...,https://www.openpetition.eu/at/petition/online/rettet-den-skatepark-in-gmunden-wir-brauchen-eine-schnelle-loesung
