Title,No. of Signatures,Location,Starting Date,Link
"Stop construction of a pump track at Homefield Park & Manor Park Meadow (Cambridge, UK)",610 signatures,"Impington, United Kingdom","Started June 24, 2025",www.change.org/p/stop-construction-of-a-pump-track-at-homefield-park-manor-park-meadow-cambridge-uk?source_location=search
"Fix Our Park, Fuel our Future: Revive Longmont Skatepark",422 signatures,"Longmont, United States","Started June 20, 2025",www.change.org/p/fix-our-park-fuel-our-future-revive-longmont-skatepark?source_location=search
Petition to Upgrade the North Hobart EC Skatepark,914 signatures,"Hobart, Australia","Started June 12, 2025",www.change.org/p/petition-to-upgrade-the-north-hobart-ec-skatepark?source_location=search
Lets Establish a Skatepark for Eastern North Carolina!,39 signatures,"Greenville, United States","Started June 21, 2025",www.change.org/p/lets-establish-a-skatepark-for-eastern-north-carolina?source_location=search
Support Our Youth: Illuminate San Juan Sports Park,633 signatures,"San Juan Capistrano, United States","Started March 28, 2025",www.change.org/p/support-our-youth-illuminate-san-juan-sports-park?source_location=search
"Build an Outdoor Skate Park in Dexter, MO",25 signatures,"Dexter, United States","Started July 6, 2025",www.change.org/p/build-an-outdoor-skate-park-in-dexter-mo?source_location=search
Save The Brooklyn Banks,"54,421 signatures",United States,"Started May 9, 2020",www.change.org/p/nyc-department-of-transportation-save-the-brooklyn-banks?source_location=search
Construction of a new concrete skatepark in Big Bear Valley,"4,125 signatures","Big Bear, United States","Started August 24, 2019",www.change.org/p/community-of-big-bear-valley-construction-of-new-concrete-skatepark-in-big-bear-valley?source_location=search
"Drew P Cottam Memorial Skate Park In Orchard Beach, Bronx NY","5,728 signatures",United States,"Started January 11, 2019",www.change.org/p/bronx-city-council-memorial-skate-park-in-orchard-beach-bronx-ny?source_location=search
The Lower East Side needs real solutions for climate change,"3,020 signatures",United States,"Started October 8, 2023",www.change.org/p/keep-nature-and-add-oversight-to-construction-in-east-river-park?source_location=search
"Build a Community Skate Park in Pawleys Island, South Carolina","2,883 signatures","Pawleys Island, United States","Started February 23, 2019",www.change.org/p/georgetown-county-parks-and-recreation-department-building-a-community-skate-park-in-pawleys-island-south-carolina?source_location=search
"Community Support of the Martinsburg, WV Skatepark","1,743 signatures","Martinsburg, United States","Started November 13, 2020",www.change.org/p/parks-and-rec-development-support-of-the-martinsburg-wv-skatepark?source_location=search
Build an Action Sports Park in the Downtown Elkhart River District,"1,538 signatures","Elkhart, United States","Started April 17, 2022",www.change.org/p/build-an-action-sports-park-in-the-downtown-elkhart-river-district?source_location=search
SAVE VIC PARK BOWL!,978 signatures,Australia,"Started October 4, 2024",www.change.org/p/save-vic-park-bowl?source_location=search
"Increase Parking Facilities at Paterson Reserve, Quakers Hill Local Sports Field",894 signatures,"Quakers Hill, Australia","Started April 15, 2024",www.change.org/p/increase-parking-facilities-at-paterson-reserve-quakers-hill-local-sports-field?source_location=search
Lights at South Beach skatepark,526 signatures,United States,"Started October 25, 2023",www.change.org/p/lights-at-south-beach-skatepark?source_location=search
Rebuild Stockton Community: El Dorado Skate Park,497 signatures,United States,"Started January 26, 2020",www.change.org/p/stockton-mayor-michael-tubbs-rebuild-stockton-community-el-dorado-skate-park?source_location=search
Renovate Clifton Skatezone!,306 signatures,"Clifton, United States","Started January 15, 2025",www.change.org/p/renovate-clifton-skatezone?source_location=search
Swansea Skatepark,135 signatures,Canada,"Started November 17, 2020",www.change.org/p/swansea-skatepark?source_location=search
Bring an Action Sports Park to Palm Bay's Compound,133 signatures,"Palm Bay, United States","Started May 27, 2024",www.change.org/p/bring-an-action-sports-park-to-palm-bay-s-compound?source_location=search
THE SEVIER COUNTY SKATEPARK PROJECT.,84 signatures,United States,"Started June 10, 2025",www.change.org/p/the-sevier-county-skatepark-project?source_location=search
Build a new skate/scooter/Bmx park in north Phoenix/Glendale area,52 signatures,"Glendale, United States","Started December 3, 2024",www.change.org/p/build-a-new-skate-scooter-bmx-park-in-north-phoenix-glendale-area?source_location=search
