Title,No. of Signatures,Location,Starting Date,Link
Fix Spiceball Skate Park Now for Local Riders,379 signatures,"Banbury, United Kingdom","Started July 10, 2025",www.change.org/p/fix-spiceball-skate-park-now-for-local-riders?source_location=search
Permit Safe Roller Skating Areas in Stratford,800 signatures,"London, United Kingdom","Started May 11, 2025",www.change.org/p/permit-safe-roller-skating-areas-in-stratford?source_location=search
Build a Skate Park in Cwmfelinfach,237 signatures,"Cwmfelinfach, United Kingdom","Started May 6, 2025",www.change.org/p/build-a-skate-park-in-cwmfelinfach?source_location=search
"Bring a Safe, Fun & Enriching Skating Center to Yeadon (ZIP 19050)",111 signatures,"Yeadon, United States","Started July 6, 2025",www.change.org/p/bring-a-safe-fun-enriching-skating-center-to-yeadon-zip-19050?source_location=search
Construct an Additional Ice Skating Rink in West Kelowna,"1,365 signatures","West Kelowna, Canada","Started March 11, 2025",www.change.org/p/construct-an-additional-ice-skating-rink-in-west-kelowna?source_location=search
Preserve Lake of the Isles Skating Rink for Future Generations,"2,862 signatures","Minneapolis, United States","Started February 7, 2025",www.change.org/p/preserve-lake-of-the-isles-skating-rink-for-future-generations?source_location=search
Build a Skate Park in Cropwell Bishop,255 signatures,"Cropwell Bishop, United Kingdom","Started May 24, 2025",www.change.org/p/build-a-skate-park-in-cropwell-bishop?source_location=search
Let Homeschoolers Learn at the Beach – Support Surf Skate Science,962 signatures,"Deerfield Beach, United States","Started May 9, 2025",www.change.org/p/let-homeschoolers-learn-at-the-beach-support-surf-skate-science?source_location=search
Name Our New Skate Park After Our Local Hero Skater,"2,128 signatures","Fall River, United States","Started March 29, 2025",www.change.org/p/name-our-new-skate-park-after-our-local-hero-skater?source_location=search
Say NO to Pickleball and YES to Expanding Roller Skating at The LeFrak Center,"1,168 signatures",United States,"Started March 19, 2025",www.change.org/p/say-no-to-pickleball-and-yes-to-expanding-roller-skating-at-the-lefrak-center?source_location=search
Activate Cameras at Davenport Skate Park,483 signatures,"Davenport, United States","Started June 23, 2025",www.change.org/p/activate-cameras-at-davenport-skate-park?source_location=search
Save Rolling Meadows Skating Program (no monetary donations requested),"1,483 signatures","Rolling Meadows, United States","Started May 12, 2025",www.change.org/p/save-rolling-meadows-skating-program-no-monetary-donations-requested?source_location=search
Preserve NYC's Pier 76: Keep Our Sacred Skating Space in the Redevelopment Plan,"1,542 signatures",United States,"Started August 2, 2024",www.change.org/p/preserve-nyc-s-pier-76-keep-our-sacred-skating-space-in-the-redevelopment-plan?source_location=search
Lights at Dicky Beach Skate Park,433 signatures,"Dicky Beach, Australia","Started February 18, 2025",www.change.org/p/lights-at-dicky-beach-skate-park?source_location=search
Allow Celeste Milner to Figure Skate,333 signatures,Australia,"Started February 20, 2025",www.change.org/p/allow-celeste-milner-to-figure-skate?source_location=search
City of Perth Skate Park,262 signatures,"Perth, Australia","Started April 26, 2025",www.change.org/p/city-of-perth-skate-park?source_location=search
Preserve and Enhance the Grass Valley Skate Park without Closing It,"1,221 signatures","Grass Valley, United States","Started June 18, 2024",www.change.org/p/preserve-and-enhance-the-grass-valley-skate-park-without-closing-it?source_location=search
A10 skate park under threat as Enfield Council look to move vital facility,"1,191 signatures",United Kingdom,"Started May 9, 2025",www.change.org/p/a10-skate-park-under-threat-as-enfield-council-look-to-move-vital-facility?source_location=search
"Build a Skate Park in Conway, SC",608 signatures,"Conway, United States","Started February 1, 2025",www.change.org/p/build-a-skate-park-in-conway-sc?source_location=search
turners falls skate park lets make a change,10 signatures,"Montague, United States","Started July 11, 2025",www.change.org/p/turners-falls-skate-park-lets-make-a-change?source_location=search
"Create an Indoor Skate Park in Middlebury, IN",82 signatures,"Middlebury, United States","Started June 30, 2025",www.change.org/p/create-an-indoor-skate-park-in-middlebury-in?source_location=search
Secure East Little Rock DIY skate zone,591 signatures,"Little Rock, United States","Started April 9, 2025",www.change.org/p/secure-east-little-rock-diy-skate-zone?source_location=search
