Title,No. of Signatures,Location,Starting Date,Link
Install CCTV at Woodhouse Lane  SkatePark Hedge End Southampton,988 signatures,"Hedge End, United Kingdom","Started June 20, 2025",www.change.org/p/install-cctv-at-woodhouse-lane-skatepark-hedge-end-southampton?source_location=search
Save the DIY Skatepark at Desert Breeze,664 signatures,"Las Vegas, United States","Started July 2, 2025",www.change.org/p/save-the-diy-skatepark-at-desert-breeze?source_location=search
Barrow in Furness indoor skatepark community project!,702 signatures,United Kingdom,"Started July 2, 2025",www.change.org/p/barrow-in-furness-indoor-skatepark-community-project?source_location=search
Redevelop Aylsham's Skatepark for a Safer Community Space,241 signatures,"Aylsham, United Kingdom","Started June 29, 2025",www.change.org/p/redevelop-aylsham-s-skatepark-for-a-safer-community-space?source_location=search
Jacksonville NC Concrete Skatepark,601 signatures,"Jacksonville, United States","Started October 12, 2024",www.change.org/p/jacksonville-nc-concrete-skatepark?source_location=search
Build a Skatepark in Carrick on Shannon,169 signatures,Ireland,"Started June 29, 2025",www.change.org/p/build-a-skatepark-in-carrick-on-shannon?source_location=search
"Construct a Safe and Modern Skatepark in Katy, TX",300 signatures,"Katy, United States","Started June 30, 2025",www.change.org/p/construct-a-safe-and-modern-skatepark-in-katy-tx?source_location=search
"Build a skatepark in Franklin, PA",49 signatures,"Franklin, United States","Started July 9, 2025",www.change.org/p/build-a-skatepark-in-franklin-pa?source_location=search
Urge Cowboys Music Festival to Free Millennium Park's Skatepark,"4,380 signatures","Calgary, Canada","Started June 12, 2025",www.change.org/p/urge-cowboys-music-festival-to-free-millennium-park-s-skatepark?source_location=search
"Fix Our Park, Fuel our Future: Revive Longmont Skatepark",422 signatures,"Longmont, United States","Started June 20, 2025",www.change.org/p/fix-our-park-fuel-our-future-revive-longmont-skatepark?source_location=search
Establish a Skatepark in Durham City,160 signatures,"Durham, United Kingdom","Started May 10, 2025",www.change.org/p/establish-a-skatepark-in-durham-city?source_location=search
Petition to Upgrade the North Hobart EC Skatepark,914 signatures,"Hobart, Australia","Started June 12, 2025",www.change.org/p/petition-to-upgrade-the-north-hobart-ec-skatepark?source_location=search
"Create a Safe, Official Skatepark in Ashbourne for Outdoor Activities",824 signatures,"Ashbourne, United Kingdom","Started December 1, 2024",www.change.org/p/create-a-safe-official-skatepark-in-ashbourne-for-outdoor-activities?source_location=search
Refurbish Balloch Skatepark for All Riders,247 signatures,"Balloch, United Kingdom","Started May 2, 2025",www.change.org/p/refurbish-balloch-skatepark-for-all-riders?source_location=search
"Renovate the Skatepark at Rotary Field, Corbin, KY",37 signatures,"Corbin, United States","Started July 9, 2025",www.change.org/p/renovate-the-skatepark-at-rotary-field-corbin-ky?source_location=search
Upgrade Forfar Skatepark for Better Skills,252 signatures,"Forfar, United Kingdom","Started May 5, 2025",www.change.org/p/upgrade-forfar-skatepark-for-better-skills-9efb64dd-439f-48db-bd9b-84cb81516127?source_location=search
"Install a Public Skatepark in Lebanon, PA",542 signatures,"Lebanon, United States","Started June 13, 2025",www.change.org/p/install-a-public-skatepark-in-lebanon-pa?source_location=search
Allow Rebuilding of Seaford Skatepark Dirt Jumps,677 signatures,"Seaford, Australia","Started May 9, 2025",www.change.org/p/allow-rebuilding-of-seaford-skatepark-dirt-jumps?source_location=search
"Build a Skatepark in Coweta, OK for Our Community's Youth",62 signatures,"Coweta, United States","Started July 5, 2025",www.change.org/p/build-a-skatepark-in-coweta-ok-for-our-community-s-youth?source_location=search
Lets Establish a Skatepark for Eastern North Carolina!,39 signatures,"Greenville, United States","Started June 21, 2025",www.change.org/p/lets-establish-a-skatepark-for-eastern-north-carolina?source_location=search
